Project, Version, Jira ticket number,Jira type, Jira ticket summary text
"OPTI",OPD - iOS 1.0,OPTI-411,"Bug","AM/PM is not displaying for the FBG saved time on home screen"
"OPTI",OPD - iOS 1.0,OPTI-410,"Bug","User is not able edit the last modified dose, if save it on the Dose guidance request day "
"OPTI",OPD - iOS 1.0,OPTI-408,"Bug","Accu-check-guide and iphone are not pairing properly and user is suck at try Again screen and cannot proceed further"
"OPTI",OPD - iOS 1.0,OPTI-407,"Bug","[Iphone6(12.4.6)]app is crashing, when user navigates to More screen and request for Dose recommendation"
"OPTI",OPD - iOS 1.0,OPTI-406,"Bug","Recommendation Dose is displaying on 'Insulin Dose' screen when user tries to edit the dose (icobot and recorded)"
"OPTI",OPD - iOS 1.0,OPTI-402,"Bug","User is stuck at Calculating dose screen "
"OPTI",OPD - iOS 1.0,OPTI-401,"Bug","Dose display and Dose calculating screen has white background (not consistent)"
"OPTI",OPD - iOS 1.0,OPTI-398,"Bug","App is crashing when user tries to edit most recent dose (there are 2 doses in less than 4 days)"
"OPTI",OPD - iOS 1.0,OPTI-397,"Bug","user can log dose on a day and the next day user can do DG_request and get dose"
"OPTI",OPD - iOS 1.0,OPTI-394,"Bug","App crashes, when user tap on 'Record Injected Dose' button, on onboarding day"
"OPTI",OPD - iOS 1.0,OPTI-391,"Bug","User is directly redirected to the dose calculating screen, when they tap on 'Get Dose Recommendation' button on More screen"
"OPTI",OPD - iOS 1.0,OPTI-390,"Bug","User is getting dose confirmation pop up on 'Record Injected dose' flow"
"OPTI",OPD - iOS 1.0,OPTI-389,"Bug","User can only edit current and previous day dose in current dosing window"
"OPTI",OPD - iOS 1.0,OPTI-387,"Bug","'FBG Not reported' text is not displaying along with recorded dose, when user record a dose though 'Recorded Injection Dose' flow"
"OPTI",OPD - iOS 1.0,OPTI-386,"Bug","User cannot edit the dose which user recorded on first day of current dosing window"
"OPTI",OPD - iOS 1.0,OPTI-385,"Bug","Record Injected Dose and Get Dose Recommendation buttons on More screen are not matching the figma design"
"OPTI",OPD - iOS 1.0,OPTI-381,"Bug","No recommendation dose from icobot when User select a low FBG reading on last 3 days "
"OPTI",OPD - iOS 1.0,OPTI-378,"Bug","Multiple Bluetooth Pairing Request in case providing incorrect pairing code"
"OPTI",OPD - iOS 1.0,OPTI-377,"Bug","getting WARN_DOSE_TAKEN_ALREADY from Icobot, when user request for dose recommendation in less than 4 days from the last recorded dose"
"OPTI",OPD - iOS 1.0,OPTI-373,"Bug"," Glooko_2005_013_PL_OPTI-19_Set Reminder Time_Trunctation"
"OPTI",OPD - iOS 1.0,OPTI-371,"Bug"," ALL_Glooko_2005_013_Application_OPTI-25 _Functional"
"OPTI",OPD - iOS 1.0,OPTI-370,"Bug","ALL_Glooko_2005_013_screenshots_Opti-33_Placeholders"
"OPTI",OPD - iOS 1.0,OPTI-369,"Bug","Glooko_2005_013_screenshots_SR-Cyrilic_Opti-25_untranslated"
"OPTI",OPD - iOS 1.0,OPTI-368,"Bug","Glooko_2005_013_screenshots_SR-Cyrilic_Opti-33_layout"
"OPTI",OPD - iOS 1.0,OPTI-366,"Bug","'FBG not reported' incorrectly aligned on home screen for insulin days"
"OPTI",OPD - iOS 1.0,OPTI-365,"Test","[OPTI-46] View About"
"OPTI",OPD - iOS 1.0,OPTI-364,"Test","[OPTI-48] View Help"
"OPTI",OPD - iOS 1.0,OPTI-360,"Bug","Dose banner overlaps with the home screen title when displayed and the dose units are displayed below the dose logged text."
"OPTI",OPD - iOS 1.0,OPTI-358,"Bug"," Glooko_2005_013_BG_OPTI-33_Layout"
"OPTI",OPD - iOS 1.0,OPTI-357,"Bug"," Glooko_2005_013_BG_OPTI-12_Layout of numbered list"
"OPTI",OPD - iOS 1.0,OPTI-356,"Bug","Glooko_2005_013_BG/DE_OPTI-12_Layout of numbered list"
"OPTI",OPD - iOS 1.0,OPTI-355,"Bug"," ESUS_Glooko_2005_013_Application_OPTI-12_Layout"
"OPTI",OPD - iOS 1.0,OPTI-354,"Bug"," Glooko_2005_013_DE_OPTI-84_Trunctation"
"OPTI",OPD - iOS 1.0,OPTI-353,"Bug"," Glooko_2005_013_DE_OPTI-80_Trunctation"
